Death Agency Number,URSUS Agency Name,Primary Name,Alternate URSUS Name,NCIC,ORI,Related County,Complaint Agency Name,gdrive_folder_name,Agency Website,CRP pra Agency name,MuckRock Agency ID,Agency Type (string),Post Name,Complaint Year,County,Complaint Type,Complaint Count,Alternate Name,resourceid,AGENCY_NAME
,,Sonoma Marin Area Rail Police Department,,,,Sonoma County,,Sonoma Marin Area Rail Police Department,"{""url"": ""https://www.sonomamarintrain.org/safety"", ""url_label"": """"}",Sonoma Marin Area Rail Police Department,19804.0,Other,SONOMA-MARIN AREA RAIL TRANSIT,,Sonoma ,,,,be98fce5-84f8-4920-9626-1c385473e26d,
,,Sonoma Police Department,,,,Sonoma County,,,"{""url"": ""https://www.sonomacity.org/departments/police-department/"", ""url_label"": """"}",,,,SONOMA PD,,Sonoma,,,,9849c1f7-5cc2-4611-bec8-a1a071884539,
,,South Bay Regional Public Communications Authority,,,,Los Angeles County,,,"{""url"": ""https://rcc911.org/"", ""url_label"": """"}",,,,SOUTH BAY REG PUB COMM AUTH,,Los Angeles,,,,ac913965-5f4a-46f3-97de-d814f4dbed4d,
,,Southwestern Community College District Police Department,,,,San Diego County,,Southwestern Community College District Police Department,"{""url"": ""https://www.swccd.edu/student-support/college-police/index.aspx"", ""url_label"": """"}",Southwestern Community College District Police Department,19889.0,Community College,SOUTHWESTERN CCD PD,,San Diego,,,,d9802ddb-5b7d-4a7c-9892-e6c7ccdc2c37,
,,Stanislaus Regional 9-1-1,,,,Stanislaus County,,,"{""url"": ""https://www.stan911.com/"", ""url_label"": """"}",,,,STANISLAUS REGIONAL 9-1-1,,Stanislaus,,,,501f3573-0fd5-42d3-8a96-5ea622292190,
,,Stanton Police Department,,,,Orange County,,Stanton Police Department,"{""url"": ""https://www.ocsheriff.gov/patrol-areas/stanton"", ""url_label"": """"}",Stanton Police Department,19647.0,Police Department,STANTON PD,,Orange,,,,ea35d583-fa75-4537-bb3e-2b16f281624c,
,,State Center Community College District Police Department,,1017,,Fresno County,State Center Community,State Center Community College District Police Department,"{""url"": ""https://www.scccd.edu/departments/police/index.html"", ""url_label"": """"}",State Center Community College District Police Department,19805.0,Community College,STATE CENTER CCD PD,,Fresno,,,,f1782880-ab35-4730-9479-ab2d30d8239c,
,,Transit Community Public Safety Department,,,,Los Angeles County,,,"{""url"": ""https://www.metro.net/about/tcpsd-officer-interest-form/"", ""url_label"": """"}",,,,LOS ANGELES CO METRO TRNS,,Los Angeles,,,,58598341-cbfa-4570-851b-bf9ea7ed0a2d,
,,Trinidad Police Department,,,,Trinity County,,,"{""url"": ""https://www.trinidad.ca.gov/police-department"", ""url_label"": """"}",,,,TRINIDAD PD,,Trinity,,,,e67ba7bb-9cb5-4e6b-97f0-22f516fa4705,
,,Trinity County District Attorney,,6353,,Trinity County,Trinity County District Attorney,Trinity County District Attorney,"{""url"": ""https://www.trinitycounty.org/"", ""url_label"": """"}",Trinity County District Attorney,19862.0,District Attorney,TRINITY CO DIST ATTORNEY,,Trinity,,,,e75745c5-7608-4bbf-b70e-5fc3d346e9f3,
,,Trinity County Marshal's Office,,,,Trinity County,,,"{""url"": ""https://www.trinity.courts.ca.gov/general-information/security"", ""url_label"": """"}",,,,TRINITY CO MARSHAL,,Trinity,,,,31380dca-f3bd-4f25-b255-12fdaa3b9bc0,
,,Tulare County District Attorney,,6354,,Tulare County,Tulare County District Attorney,Tulare County District Attorney,"{""url"": ""https://tulareda.org/"", ""url_label"": """"}",Tulare County District Attorney,18112.0,District Attorney,"TULARE CO DA, TULARE CO DIST ATTORNEY",,Tulare,,,,997e5a87-72e7-4571-b875-523284995e3e,
,,Tulare County Marshal Office,,,,Tulare County,,,,,,,TULARE CO MARSHAL,,Tulare,,,,9b1e63c6-158b-40bd-81b6-ecaf333daeb7,
,,West Cities Police Communications Center,,,,Orange County,,,"{""url"": ""http://www.west-comm.org/"", ""url_label"": """"}",,,,WEST CITIES COMM CTR,,Orange,,,,e7acfc48-4b5b-4418-a44e-d7dc715d7bcd,
,,Tulare County Probation Department,,6855,,Tulare County,Tulare County Probation Department,Tulare County Probation Department,"{""url"": ""https://tularecoprobation.org/"", ""url_label"": """"}",Tulare County Probation Department,5376.0,Probation Department,,,Tulare,,,,62336eb7-1a26-495d-9ece-f2562bc48d99,
,,Twin Cities Police Department,,,,Sacramento County,,,"{""url"": ""https://www.ci.larkspur.ca.us/facilities/facility/details/Twin-Cities-Police-Department-2"", ""url_label"": """"}",,,,TWIN CITIES PD,,Sacramento,,,,3127833a-72d2-4545-9a21-9aed7f0d7b48,
,,Val Verde Unified School District Police Department,,,,Riverside County,,Val Verde Unified School District Police Department,"{""url"": ""https://police-department-valverde.schoolblocks.com/en-us"", ""url_label"": """"}",Val Verde Unified School District Police Department,19888.0,K-12,VAL VERDE UNIF SCH DIST PD,,Riverside,,,,928085ae-9707-4ecf-bba4-5b1dc163da92,
,,Ventura County Marshal Office,,,,Ventura County,,,,,,,VENTURA CO MARSHAL,,Ventura,,,,982cf58d-d981-48d7-8c3f-bfd58c058de4,
,,Ventura County Social Services,,,,Ventura County,,Ventura County Social Services,,Ventura County Social Services,19646.0,County Agency,VENTURA CO PUBLIC SOCIAL,,Ventura,,,,46d6ddd5-e27e-44da-96d3-4d21c26e63d7,
,,Victor Valley College Police Department,,,,San Bernardino County,,Victor Valley College Police Department,"{""url"": ""https://www.vvc.edu/campus-police-office"", ""url_label"": """"}",Victor Valley College Police Department,19814.0,Community College,VICTOR VALLEY COLLEGE PD,,San Bernardino,,,,57185753-98b9-434b-b968-759da17f114b,
,,Wasco Police Department,,,,Kern County,,,"{""url"": ""https://www.cityofwasco.org/389/Wasco-Police-Department"", ""url_label"": """"}",,,,WASCO PD,,Kern,,,,97275b27-13ce-405a-abc9-3208e678ceb9,
,,Waterford Police Services,,,,Santa Cruz County,,,"{""url"": ""https://www.scsdonline.com/field-services/contract-cities/waterford"", ""url_label"": """"}",,,,WATERFORD PD,,Santa Cruz,,,,be80ebdd-da78-4b5f-8d94-663085f6844b,
,,West Contra Costa Unified School District Police Department,,,,Contra Costa County,,,,,,,WEST CONTRA COSTA USD PD,,Contra Costa,,,,0756ee6b-f1f5-4906-94a8-db3980141a07,
,,West Covina Community Development Department,,,,Los Angeles County,,,"{""url"": ""https://www.westcovina.org/departments/community-development"", ""url_label"": """"}",,,,WEST COVINA COMM DIST,,Los Angeles,,,,2d0a410a-8d27-4dc7-872a-8333951d50b8,
,,Westmorland Police Department,,1307,,Imperial County,Westmorland Police Department,Westmorland Police Department,"{""url"": ""https://www.cityofwestmorland.net/departments/police-department/"", ""url_label"": """"}",Westmorland Police Department,19714.0,Police Department,WESTMORLAND PD,,Imperial,,,,583d0647-957e-4b58-af4c-024bcd09da77,
,,Yuba Community College Police Department,,6606,,Yuba County,Yuba Community College Dist. PD,Yuba Community College Police Department,"{""url"": ""https://www.yccd.edu/district-services/campus-safety/"", ""url_label"": """"}",Yuba Community College Police Department,19929.0,Community College,YUBA COMMUNITY COLL DIST PD,,Yuba,,,,0b6491fc-235d-4cd3-9f02-d8060310abd2,
,,San Bernardino County Probation Department,,,,San Bernardino County,,,"{""url"": ""https://sanbernardinocountyprobation.org/"", ""url_label"": """"}",,,,,,San Bernardino,,,,3713a9d0-50f9-4050-8e75-1f9b3f91558a,
,,San Diego Harbor Police,,,,San Diego County,,San Diego Harbor Police Department,"{""url"": ""https://www.portofsandiego.org/public-safety/harbor-police"", ""url_label"": """"}",,,,"SAN DIEGO HARBOR PD, PORT OF",,San Diego,,,,c8981826-d203-4091-b299-72cea7d6b38d,
,,California Department of Corrections,,,,,,California Department of Corrections and Rehabilitation,,,,,,,Statewide,,,,72b98463-a343-490f-a3df-54693743e244,
,,California State Personnel Board,,,,,,California State Personnel Board,"{""url"": ""https://www.spb.ca.gov/"", ""url_label"": """"}",,,,,,,,,,461283e1-bcbf-4e0a-b884-502c3beb8b73,
,,San Joaquin County Office of the Medical Examiner,,,,San Joaquin County,,,"{""url"": ""https://www.sjgov.org/department/hcs/departments/ome/home"", ""url_label"": """"}",,,,,,San Joaquin,,,,4c722edd-2567-4d67-b1d3-0ea8ac0b5fa0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,San Mateo County Coroner's Office,,7041,,San Mateo County,San Mateo County Coroner,,"{""url"": ""https://www.smcgov.org/coroner"", ""url_label"": """"}",,,Death Investigations,SAN MATEO CO CORONER,,San Mateo,,,,2589ad83-e080-43e3-b43b-46fa897a502e,
,,Davis Independent Police Auditor,,,,Yolo County,,Davis Independent Police Department Auditor,"{""url"": ""https://www.cityofdavis.org/city-hall/police-department/administration/independent-police-auditor"", ""url_label"": """"}",Davis Independent Police Department Auditor,19792.0,Oversight Agency,,,Yolo,,,,c7325bd0-2cb1-4d9b-9584-6d1c7b31622e,
,,Los Angeles County Medical Examiner,,7019,,Los Angeles County,Los Angeles County Coroner,Los Angeles Medical Examiner-Coroner,"{""url"": ""https://me.lacounty.gov/"", ""url_label"": """"}",Los Angeles County Department of Medical Examiner-Coroner,4674.0,Death Investigations,"LOS ANGELES CO CORONER, LOS ANGELES CO DEPT OF MEDICAL EXAMINER",,Los Angeles,,,,5a38e870-6421-4ed3-b203-3977c9101115,
,,California Department of Public Health,,7558,,,Dept of Public Health /Food & Drug,California Department of Public Health,"{""url"": ""https://www.cdph.ca.gov/"", ""url_label"": """"}",California Department of Public Health,7501.0,State Agency (not prisons),CA DEPT PUB HEALTH FOOD/DRUG,,Statewide,,,,b33f44b0-a556-4dd5-8fbd-1a085f603b90,
,,Mountain View Emergency Operations Center,,,,Santa Clara County,,,"{""url"": ""https://www.mountainview.gov/our-city/departments/fire/emergency-preparedness/emergency-operations-center"", ""url_label"": """"}",,,,MOUNTAIN VIEW EMERG COMM,,Santa Clara,,,,c1358924-a4d1-4b4d-b567-a489a56d89c6,
,,California Department of Social Services,,7538,,,Calif Dept of Soc Srvcs/Branch of Investigation,California Department of Social Services,"{""url"": ""https://www.cdss.ca.gov/"", ""url_label"": """"}",California Department of Social Services,19744.0,State Agency (not prisons),CA DEPT SOCIAL SERVICES,,Statewide,,,,cca89c84-d8e7-4db7-b0aa-790d578e7c40,
,,Hawaiian Gardens Public Safety Department,,,,Los Angeles County,,,"{""url"": ""https://www.hgcity.org/government/departments/public-safety"", ""url_label"": """"}",,,,HAWAIIAN GARDENS PD,,Los Angeles,,,,ea6508d7-3787-4136-8f0e-4376dfc7cd15,
,,Live Oak Police Department,,,,Sutter County,,,"{""url"": ""https://www.liveoakcity.org/departments/sheriff-services"", ""url_label"": """"}",,,,LIVE OAK PD,,Sutter,,,,f3bf06cd-dc92-4f68-a5af-e75769959194,
,,Cabrillo College Police Department,,,,Santa Cruz County,,,"{""url"": ""https://www.cabrillo.edu/santa-cruz-county-sheriffs-office-cabrillo-college-division/"", ""url_label"": """"}",,,,CABRILLO COMM COLLEGE,,Santa Cruz,,,,fb107fc6-59e9-460e-9f60-181d09c5ae1d,
,,Humboldt County Coroner,,7012,,Humboldt County,Humboldt County Coroner,Humboldt County Coroner,"{""url"": ""https://humboldtgov.org/1970/Coroner---Public-Administrator"", ""url_label"": """"}",Humboldt County Coroner,33756.0,Death Investigations,HUMBOLDT CO CORONER,,Humboldt,,,,1b45403d-b438-40f7-9865-c779f7f17b61,
,,California Department of Industrial Relations,,7522,,,Dept of Indust. Rel/Labor Stnd Enf.,California Department of Industrial Relations,"{""url"": ""https://www.dir.ca.gov/"", ""url_label"": """"}",California Department of Industrial Relations,19747.0,State Agency (not prisons),CA DEPT INDUSTRIAL RELATIONS,,Statewide,,,,95997165-e0cf-4a87-9af6-7a1523406676,
,,California State Controller's Office,,,,,,California State Controller's Office,"{""url"": ""https://www.sco.ca.gov/"", ""url_label"": """"}",California State Controller,5280.0,State Agency (not prisons),CA ST CONTROLLER - INV,,Statewide,,,,060c9f40-3440-4358-ab85-f29654c396de,
,,California Department of Motor Vehicles,,,,,,California Department of Motor Vehicles,"{""url"": ""https://www.dmv.ca.gov/portal/"", ""url_label"": """"}",California Department of Motor Vehicles,19745.0,State Agency (not prisons),CA DEPT MOTOR VEHICLES,,Statewide,,,,90ab88e2-a42d-4725-b1e9-532739dadc34,
,,Amtrack Police Department,,,,,,,"{""url"": ""https://www.amtrak.com/police/home"", ""url_label"": """"}",,,,AMTRAK PD,,Statewide,,,,d072aaf9-3eb6-4667-9b07-fe30279852ec,
,,California Exposition and State Fair Police Department,,3420,,,Cal Expo & State Fair PD,California Exposition and State Fair Police Department,"{""url"": ""https://calexpostatefair.com/about-us/safety-security/"", ""url_label"": """"}",California Exposition and State Fair Police Department,19743.0,State Agency (not prisons),CA STATE FAIR PD,,Statewide,,,,d65be308-57ec-4397-a7ca-25b10496d788,
,,California Office of Law Enforcement Support,,,,,,California Office of Law Enforcement Support,"{""url"": ""https://www.oles.ca.gov/"", ""url_label"": """"}",Office of Law Enforcement Support,19757.0,State Agency (not prisons),CA OFFICE OF LE SUPPORT (OLES),,Statewide,,,,182d65be-7246-48c0-b149-68155a8a202d,
,,Riverbank Police Department,,,,Stanislaus County,,,"{""url"": ""https://www.riverbank.org/161/Police-Department"", ""url_label"": """"}",,,,RIVERBANK PD    C-50,,Stanislaus,,,,4abe891a-b439-40cb-ad3d-540c617a289b,
,,Marin Municipal Water District,,,,Marin County,,Marin Municipal Water District,"{""url"": ""https://www.marinwater.org/"", ""url_label"": """"}",Marin Municipal Water District,19750.0,Other,MARIN MUNCPL WATER DIST,,Marin,,,,57d5e1a1-117e-4ec5-833f-f49b2e2ab03f,
,,Saddleback College Police Department,,6638,,Orange County,Saddleback College PD,,"{""url"": ""https://www.saddleback.edu/saddleback-college-police"", ""url_label"": """"}",,,Community College,SADDLEBACK CCD PD,,Orange,,,,7dca1abb-7113-47a7-8b36-2238ac71c227,
,,Los Angeles District Attorney,,,,,,,,,,,,,,,,,31d52db6-1e43-461a-8d73-e29d57412257,
,,Mendocino County Probation Department,,,,,,,,,,,,,,,,,9ee7b177-cbc2-4231-91fd-928304967769,
,,Cal State East Bay University Police Department,,,,,,,,,,,,,,,,,8060a8a3-3863-4db4-b1bd-a85f9f122024,
,,Kensington Police Department,,713,,Contra Costa County,Kensington Police Department,Kensington Police Department,"{""url"": ""https://www.kppcsd.org/"", ""url_label"": """"}",,19918.0,Special District,KENSINGTON PD,2016-01,Contra Costa,Race Ethnicity Sustained,1,,ea52e9e6-7614-4644-8b20-8eee570015ca,
,,Plymouth Police Department,,,,Amador County,,,"{""url"": ""https://www.amadorsheriff.org/"", ""url_label"": """"}",,,,PLYMOUTH PD,,Amador,,,,0261a1aa-f6f6-4466-87f7-aeedf1ce0210,
,,Calaveras County Coroner's Office,,,,Calaveras County,,,"{""url"": ""https://coroner.calaverasgov.us/"", ""url_label"": """"}",,,,,,Calaveras,,,,3d1f77cd-27f1-470f-818b-5d672fdc9339,
,,California Department of Toxic Substances Control,,,,,,California Department of Toxic Substances Control,"{""url"": ""https://dtsc.ca.gov/"", ""url_label"": """"}",California Department of Toxic Substances Control,8823.0,State Agency (not prisons),CA DEPT TOXIC SUBSTANCES CNTL,,Statewide,,,,d1a52870-9dd2-445f-ba0a-0ddfbe57931d,
,,Federal Bureau of Investigation,,,,,,,"{""url"": ""https://www.fbi.gov/investigate"", ""url_label"": """"}",,,,FEDERAL BUREAU OF INVEST,,Federal,,,,704dd263-7519-43d4-ba3e-c7f431139fb8,
,,Inyo County Coroner Office,,,,Inyo County,,,"{""url"": ""https://www.inyocounty.us/services/coroner"", ""url_label"": """"}",,,,,,Inyo,,,,eedd51eb-03c4-4079-b14b-8107623a7c3d,
,,Modoc County District Attorney,,6325,,Modoc County,Modoc County District Attorney,Modoc County District Attorney,"{""url"": ""https://www.co.modoc.ca.us/departments/district_attorney.php"", ""url_label"": """"}",Modoc County District Attorney,18090.0,District Attorney,MODOC CO DA,,Modoc,,,,771c0247-3b77-43b7-9852-62410accf206,
,,Port of Stockton Police Department,,,,San Joaquin County,,Port of Stockton Police Department,"{""url"": ""https://www.portofstockton.com/port-police/"", ""url_label"": """"}",Port of Stockton Police Department,33749.0,City Agency,PORT OF STOCKTON PD,,San Joaquin,,,,1927069a-81c2-402f-b6d9-49e174d91364,
,,California State Assembly Sergeant-at-Arms,,,,,,,"{""url"": ""https://sergeant.senate.ca.gov/sergeant-arms-position#:~:text=The%20Senate%20Sergeants%2Dat%2DArms,foreign%20delegations%2C%20and%20the%20public."", ""url_label"": """"}",,,,CA ASSEMBLY SGT AT ARMS LEGIS,,Statewide,,,,00ec2808-94e6-4259-9dfe-8e2468c66e87,
,,California State Police ,,,,,,,"{""url"": ""https://www.chp.ca.gov/home/about-us/the-history-of-the-california-highway-patrol/milestones-in-time/merger-of-the-highway-patrol-and-the-state-police"", ""url_label"": """"}",,,,CA STATE POLICE C-34,,Statewide,,,,0744fece-025d-4321-bd15-bc29a35d801b,
,,Mono County District Attorney,,6326,,Mono County,Mono County District Attorney,Mono County District Attorney,"{""url"": ""https://monocountydistrictattorney.org/da"", ""url_label"": """"}",Mono County District Attorney,19856.0,District Attorney,MONO CO DA,,Mono,,,,098e492b-3a69-4dd2-b0f8-075ff5394a03,
,,Blue Lake Police Department,,,,Humboldt County,,,"{""url"": ""https://bluelake.ca.gov/city-services/public-safety/"", ""url_label"": """"}",,,,BLUE LAKE PD,,Humboldt,,,,0c335c45-6292-4ada-ba0c-12f9d1ba34d2,
,,San Francisco Police Commission,,,,San Francisco County,,San Francisco Police Commission,"{""url"": ""https://www.sf.gov/departments/police-commission"", ""url_label"": """"}",San Francisco Police Commission,19764.0,Oversight Agency,,,San Francisco,,,,30630663-2f48-47b3-a232-55ff89d4dbe5,
,,California Horse Racing Board,,7526,,,California Horse Racing Board,2023 California Horse Racing Board,"{""url"": ""https://www.chrb.ca.gov/"", ""url_label"": """"}",California Horse Racing Board,19638.0,State Agency (not prisons),CA HORSE RACING BOARD,,Statewide,,,,59ea5118-84f8-41e4-bcb5-6ce73d6903b5,
,,Fort Jones Police Department,,,,Siskiyou County,,,"{""url"": ""https://fortjonesca.org/policedepartment-report/"", ""url_label"": """"}",,,,FORT JONES PD,,Siskiyou,,,,5d25c15d-dda3-43c6-9bb6-568a40c9640d,
,,California Office of Emergency Services,,7546,,,OES/Law Enforcement Division,California Office of Emergency Services,"{""url"": ""https://www.caloes.ca.gov/"", ""url_label"": """"}",California Office of Emergency Services,4075.0,State Agency (not prisons),CAL - OES,,Statewide,,,,65a6bc8a-1e8f-4000-80a1-6978b32ab22d,
,,Union Pacific Railroad,,3112,,,Union Pacific Railroad,,,,,railroad,UNION PACIFIC RAILROAD,,Statewide,,,,6358f1aa-2512-4773-a064-a8f850aec721,
,,Franchise Tax Board,,,,,,Franchise Tax Board,"{""url"": ""https://www.ftb.ca.gov/"", ""url_label"": """"}",California Franchise Tax Board,7249.0,State Agency (not prisons),CA FRANCHISE TAX BOARD,,Statewide,,,,6be69041-48e7-47e4-812e-8a098f38d2f9,
,,Tehama County Coroner's Office,,,,Tehama County,,,"{""url"": ""https://tehamaso.org/coroners-office/"", ""url_label"": """"}",,,,TEHAMA CO CORONER,,Tehama,,,,6fb96a5f-0bcc-43e8-b8df-b65d461cd451,
,,Lynnwood Police Department,,,,Los Angeles County,,,"{""url"": ""https://lasd.org/century/"", ""url_label"": """"}",,,,LYNWOOD PD,,Los Angeles,,,,8f8462cb-a54d-4154-9243-49b506160574,
,,Dunsmuir Police Department,,,,Siskiyou County,,,"{""url"": ""https://www.co.siskiyou.ca.us/sheriff/page/dunsmuir-neighborhood"", ""url_label"": """"}",,,,DUNSMUIR PD  C-47,,Siskiyou,,,,9880f484-6b5e-4280-9d0a-fc3f871ba4d3,
,,California State Lottery,,7548,,,Calif Lottery Security/Law Enf.,California State Lottery,"{""url"": ""https://www.calottery.com/lottery-investigator"", ""url_label"": """"}",California State Lottery,4311.0,State Agency (not prisons),CA STATE LOTTERY,,Statewide,,,,cb896e30-1590-4379-af72-c6d9c2f06c9a,
,,Alameda County Coroner's Bureau,,,,Alameda County,,,"{""url"": ""https://www.alamedacountysheriff.org/Home/Components/FacilityDirectory/FacilityDirectory/34/33"", ""url_label"": """"}",,,,ALAMEDA CO CORONER  C-01,,Alameda,,,,eb45f81d-25e0-4974-beb3-f731b1b878d2,
,,Lathrop Police Department,,,,San Joaquin County,,,"{""url"": ""https://www.ci.lathrop.ca.us/police"", ""url_label"": """"}",,,,LATHROP PD,,San Joaquin,,,,473d498a-e20d-4897-a6bc-19f7c4441dec,
,,Southern Pacific Railroad Police Department,,,,,,,,,,,SOUTHERN PACIFIC RAILROAD,,Statewide,,,,07bbbf44-d5bd-4de1-ba57-4e48149eab69,
,,Grossmont-Cuyamaca Comm College,,6627,,San Diego County,Grossmont-Cuyamaca Comm College,,"{""url"": ""https://www.gcccd.edu/public-safety/gcccd-deputy-bios.php"", ""url_label"": """"}",,,Community College,"GROSSMONT-CUYAMACA CCD PD (OBS, GROSSMONT-CUYAMACA CCD PD",,San Diego,,,,6f87fa97-8550-4d80-9dcc-8f937f8afd53,
,,Biggs Police Department,,,,Butte County,,,"{""url"": ""https://www.biggs-ca.gov/City-Services/Public-Safety/Butte-County-Sheriff/index.html"", ""url_label"": """"}",,,,BIGGS PD  C-04,,Butte,,,,e3ada3e3-67ae-4963-85b7-903c68d9782c,
,,Needles Police Department,,,,San Bernardino County,,,"{""url"": ""https://wp.sbcounty.gov/sheriff/patrol-stations/needles/"", ""url_label"": """"}",,,,NEEDLES PD,,San Bernardino,,,,f9f691be-4a0a-4d82-8f03-388780bb02f4,
,,Atwater Police Department,,2401,,Merced County,Atwater Police Department,Atwater Police Department,"{""url"": ""https://www.atwater.org/departments/police/"", ""url_label"": """"}",Atwater Police Department,19472.0,Police Department,ATWATER PD,,Merced,,,,4f6bee9e-8ced-4d33-8afb-914d646d5b35,
,,Cerritos College Campus Police,,,,Los Angeles County,,Cerritos College Campus Police,"{""url"": ""https://www.cerritos.edu/police/default.htm"", ""url_label"": """"}",Cerritos College Campus Police,19823.0,Community College,"CERRITOS COLLEGE POLICE DEPARTMENT, CERRITOS CCD PD, CERRITOS PD",,Los Angeles,,,,098bfc84-a49e-4a95-8700-781fcbd1062b,
,,Humboldt County Welfare Investigations,,6412,,Humboldt County,Humboldt County Social Welfare,Humboldt County Welfare Investigations,"{""url"": ""https://humboldtgov.org/3131/Fraud-Investigations"", ""url_label"": """"}",Humboldt County Welfare Investigations,19633.0,County Agency,HUMBOLDT DEPT WELFARE/INVEST,,Humboldt,,,,1984b44f-7bdb-4f86-9871-43ac17ac05b6,
,,Los Angeles City Park Ranger,,,,Los Angeles County,,Los Angeles City Park Ranger,"{""url"": ""https://laparkrangers.com/"", ""url_label"": """"}",Los Angeles City Park Ranger,19631.0,City Agency,LOS ANGELES CITY PARK RANGER,,Los Angeles,,,,5b7f4601-16a5-469e-b166-f59d9bde355b,
,,Maricopa Police Department,,,,Kern County,,,,,,,MARICOPA PD,,Kern,,,,474b7cd0-f270-4321-b957-1e7db898a758,
,,Montague Police Department,,,,Siskiyou County,,,"{""url"": ""https://www.co.siskiyou.ca.us/enforcementdivision/page/contract-cities"", ""url_label"": """"}",,,,MONTAGUE PD,,Siskiyou,,,,5355b152-5c82-41e9-ade6-5a97c6ed66c9,
,,San Benito County Marshal Office,,,,San Benito County,,,,,,,SAN BENITO CO MARSHAL,,San Benito,,,,ea2d2196-76c3-4f04-9091-301769a6fab2,
,,San Joaquin County Marshal Office,,,,San Joaquin County,,,,,,,SAN JOAQUIN CO MAR LODI,,San Joaquin,,,,6a2f889b-16df-4675-93be-c3cdb4131038,
,,San Francisco County District Attorney,,6338,,San Francisco County,San Francisco Co. District Attorney,San Francisco District Attorney,"{""url"": ""https://sfdistrictattorney.org/"", ""url_label"": """"}",San Francisco County District Attorney,19858.0,District Attorney,SAN FRANCISCO CO DA,,San Francisco,,,,ad1edb6d-3cd1-4fa7-8efc-542a3a58fd42,
,,Solano County Probation Department,,6849,,Solano County,Solano County Probation Department,Solano County Probation Department,"{""url"": ""https://www.solanocounty.com/depts/probation/default.asp"", ""url_label"": """"}",Solano County Probation Department,19568.0,Probation Department,,,Solano,,,,854f796b-ba6a-476c-beed-d0d28ab104b2,
,,Sutter County Health and Human Services,,6451,,Sutter County,Sutter Co Dept of Human Services,Sutter County Health and Human Services,"{""url"": ""https://www.suttercounty.org/government/county-departments/health-and-human-services"", ""url_label"": """"}",Sutter County Health and Human Services,33753.0,County Agency,SUTTER CO HEALTH & HUMAN SVCS,,Sutter,,,,2b169923-6c4d-4e95-96e4-833f49244054,
,,Tehama Police Department,,,,Marin County,,,"{""url"": ""https://cityoftehama.us/police-department"", ""url_label"": """"}",,,,TEHAMA PD,,Marin,,,,c563971d-399f-4428-b280-b2b1d96d2b39,
,,Willows Police Department,,1102,,Glenn County,Willows Police Department,Willows Police Department,"{""url"": ""https://www.countyofglenn.net/government/departments/sheriff"", ""url_label"": """"}",Willows Police Department,19602.0,Police Department,WILLOWS PD,,Glenn,,,,ca3e939d-ac62-4e10-9f9b-302dbd963be4,
,,Yolo Emergency Communications Agency,,,,Yolo County,,,"{""url"": ""https://www.yolo911.org/"", ""url_label"": """"}",,,,YOLO CO COMM EMER,,Yolo,,,,b31218e2-ec22-49a5-8204-73078dc23608,
,,California Department of Managed Health Care,,,,,,California Department of Managed Health Care,"{""url"": ""https://www.dmhc.ca.gov/"", ""url_label"": """"}",Department of Managed Health Care,19759.0,State Agency (not prisons),"CA DEPT OF MNGD HEALTHCARE(OBS, CA DEPT OF MANAGED HEALTH CARE, CA DEPT OF MNGD HEALTHCARE",,Statewide,,,,936b6593-897a-41bf-8778-4c729ebbec6c,
,,California Department Of Financial Protection And Innovation,,,,,,California Department Of Financial Protection And Innovation,"{""url"": ""https://dfpi.ca.gov/"", ""url_label"": """"}",Department Of Financial Protection And Innovation,24514.0,State Agency (not prisons),"CA DEPT OF BUSINESS OVERSIGHT, CA DEPT OF FIN PROT AND INNOV",,Statewide,,,,a498f2e5-24e2-4325-8ca6-641977c753a4,
,,California Department of State Hospitals,,,,,,California Department of State Hospitals,"{""url"": ""https://www.dsh.ca.gov/"", ""url_label"": """"}",Department of State Hospitals,22032.0,State Agency (not prisons),"CA DEPT STATE HOSPITALS, CA DEPT STATE HOSPITALS – OFC OF SPEC INVEST",,Statewide,,,,b42d6a52-555c-4a58-8c96-b304129ebd00,
,,Supreme Court of California,,,,,,,"{""url"": ""https://supreme.courts.ca.gov/"", ""url_label"": """"}",,,,"SUPREME COURT OF CALIFORNIA, SUPREME COURT OF CA",,Statewide,,,,b98d7588-0b06-4a1f-9594-d783b7d20c32,
,,California Bureau Of Cannabis Control,,,,,,California Bureau Of Cannabis Control,"{""url"": ""https://cannabis.ca.gov/"", ""url_label"": """"}",California Bureau of Cannabis Control,24564.0,State Agency (not prisons),"CA DCA BUREAU OF CANNABIS CTRL, DEPT CANNABIS CNTL, ENF DIV",,Statewide,,,,e25690dc-918f-474d-93dc-56aa2c094798,
,,California Department of Developmental Services,,,,,,California Department of Developmental Services,"{""url"": ""https://www.dds.ca.gov/"", ""url_label"": """"}",California Department of Developmental Services,6385.0,State Agency (not prisons),"CA DEPT DEVELOPMENTAL INV, CA DEPT DEVELOPMENTAL OPS, CA DEPT DEVELOPMENTAL PD",,Statewide,,,,eb070a3d-508f-4c0e-98e1-bf752ff2dda7,
,,Eureka Fire Department,,6188,,Fresno County,Eureka Fire Department,,,,,fire,"EUREKA FIRE DEPT COMM, EUREKA FIRE DEPT COMM, FIREBAUGH PD",,Fresno,,,,f7c1dbd9-3cae-455b-b548-a50dbaffdf88,
